beta,alpha,nAnts,evap,time,best_sol,score
1,1,5,0,5.35878014564514,150781,1.39406799249253
1,1,5,0.04,5.49332976341248,157110,1.452583696225
1,1,5,0.08,5.29642605781555,161065,1.48915023252804
1,1,20,0,18.9336519241333,151492,1.40064164794423
1,1,20,0.04,19.0790836811066,158934,1.46944775746817
1,1,20,0.08,19.0470609664917,150781,1.39406799249253
1,1,50,0,30.2602291107178,150781,1.39406799249253
1,1,50,0.04,30.4131369590759,150781,1.39406799249253
1,1,50,0.08,30.484118938446,151492,1.40064164794423
1,1,100,0,30.9061527252197,150781,1.39406799249253
1,1,100,0.04,30.3467197418213,150781,1.39406799249253
1,1,100,0.08,30.4749717712402,150781,1.39406799249253
1,2,5,0,5.40822434425354,159567,1.47530025240618
1,2,5,0.04,5.39162445068359,158175,1.46243031093113
1,2,5,0.08,5.4515323638916,162872,1.50585711776181
1,2,20,0,19.5664963722229,156661,1.44843240044749
1,2,20,0.04,19.8078577518463,158175,1.46243031093113
1,2,20,0.08,19.8629629611969,150781,1.39406799249253
1,2,50,0,30.4021258354187,150781,1.39406799249253
1,2,50,0.04,30.5063436031342,150781,1.39406799249253
1,2,50,0.08,30.4882395267487,150971,1.3958246655387
1,2,100,0,30.7952315807343,150781,1.39406799249253
1,2,100,0.04,30.3524174690247,150971,1.3958246655387
1,2,100,0.08,30.860710144043,150781,1.39406799249253
1,3,5,0,5.59902405738831,157110,1.452583696225
1,3,5,0.04,5.62376308441162,162082,1.49855305614882
1,3,5,0.08,5.6241762638092,160869,1.48733808559621
1,3,20,0,20.6927435398102,157110,1.452583696225
1,3,20,0.04,21.0797944068909,157695,1.45799240007766
1,3,20,0.08,20.2242903709412,150971,1.3958246655387
1,3,50,0,30.4032311439514,150781,1.39406799249253
1,3,50,0.04,30.1998436450958,150781,1.39406799249253
1,3,50,0.08,30.228625535965,150971,1.3958246655387
1,3,100,0,30.9313819408417,150781,1.39406799249253
1,3,100,0.04,30.1604492664337,150781,1.39406799249253
1,3,100,0.08,30.4832282066345,150781,1.39406799249253
1,4,5,0,5.56282067298889,151492,1.40064164794423
1,4,5,0.04,5.56821179389954,163834,1.51475143076397
1,4,5,0.08,5.53705716133118,157110,1.452583696225
1,4,20,0,20.2905337810516,150781,1.39406799249253
1,4,20,0.04,20.2837772369385,150781,1.39406799249253
1,4,20,0.08,20.1819949150085,150781,1.39406799249253
1,4,50,0,30.2982380390167,150781,1.39406799249253
1,4,50,0.04,30.4540183544159,156661,1.44843240044749
1,4,50,0.08,30.2306978702545,150781,1.39406799249253
1,4,100,0,30.0328340530395,150781,1.39406799249253
1,4,100,0.04,30.7705676555634,150781,1.39406799249253
1,4,100,0.08,30.9160311222076,150781,1.39406799249253
2,1,5,0,5.59972453117371,164898,1.52458879982248
2,1,5,0.04,5.61740708351135,160758,1.48631181871134
2,1,5,0.08,5.79455327987671,150781,1.39406799249253
2,1,20,0,21.7598631381989,156661,1.44843240044749
2,1,20,0.04,20.8918123245239,150971,1.3958246655387
2,1,20,0.08,21.2435119152069,151492,1.40064164794423
2,1,50,0,30.1833691596985,150781,1.39406799249253
2,1,50,0.04,30.211977481842,138151,1.27729546316072
2,1,50,0.08,30.3133997917175,150781,1.39406799249253
2,1,100,0,30.4705119132996,147829,1.36677484074372
2,1,100,0.04,30.8841733932495,150781,1.39406799249253
2,1,100,0.08,30.5110886096954,150781,1.39406799249253
3,1,5,0,5.71508550643921,158934,1.46944775746817
3,1,5,0.04,5.87102770805359,160869,1.48733808559621
3,1,5,0.08,5.94978928565979,169986,1.57163065486922
3,1,20,0,21.4335954189301,150781,1.39406799249253
3,1,20,0.04,20.8992974758148,150076,1.38754981092651
3,1,20,0.08,21.8397731781006,147839,1.36686729721983
3,1,50,0,30.0815987586975,148589,1.37380153292837
3,1,50,0.04,30.540326833725,148488,1.37286772251962
3,1,50,0.08,30.2887554168701,144366,1.33475716306549
3,1,100,0,30.6206221580505,146540,1.35485720097264
3,1,100,0.04,30.1995646953583,148691,1.37474458898474
3,1,100,0.08,30.5495126247406,135802,1.25557743692157
4,1,5,0,6.05840826034546,167842,1.55180798639041
4,1,5,0.04,6.08754539489746,150971,1.3958246655387
4,1,5,0.08,5.97151589393616,159567,1.47530025240618
4,1,20,0,21.8392224311829,148152,1.3697611849222
4,1,20,0.04,22.0360240936279,145820,1.34820033469244
4,1,20,0.08,21.5809245109558,148013,1.36847603990422
4,1,50,0,30.3388154506683,147988,1.36824489871393
4,1,50,0.04,30.1046957969666,142093,1.3137418060448
4,1,50,0.08,30.4652743339539,138432,1.27989349013952
4,1,100,0,30.3711290359497,150781,1.39406799249253
4,1,100,0.04,30.13614153862,146012,1.34997549903383
4,1,100,0.08,30.1890475749969,131067,1.21179929548165
